key,module,type,category,source,notes
FFShouldAllowDenoise,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFShouldAllowDenoiseOnBlacklistedConfigs,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShouldNotAllowAudioEffectInTranscription,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShowAudioAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowConfidenceValuesInListView,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDateRangesInEventList,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDisplayTimes,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDragAlignmentGuides,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowFilmstripWithAllEffects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified [also accessed via boolForKey in decomp]"
FFShowHDRAsRawValues,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowHiddenClips,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowHiddenTasksInBackgroundTaskHUDKey,Flexo,bool,behavior_toggle,binary_extract,Reveal hidden background tasks
FFShowHideTimelineLanesDecorator,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowItemTitles,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowMarkedRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowMisalignedDupeIndicatorsKey,Flexo,bool,behavior_toggle,binary_extract,Highlight duplicate-range misalignments
FFShowPlayheadInfoPopover,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShowPlayheadInfoPopoverUserSetting,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowSkimmerInfo,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowTextRulersKey,Flexo,bool,behavior_toggle,binary_extract,Show text rulers in titles
FFShowUnremarkableTasksInBackgroundTaskHUD,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowUsedMediaRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowVideoAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFSidebarModuleCreateDefaultLibraryKey,Flexo,unknown,data_storage,binary_extract,
FFSoloAnimation,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFSoloChangedTypeKey,Flexo,unknown,data_storage,binary_extract,
FFSourceVideoOverrideCameraProjectionMode,Flexo;ProMedia,enum,mode_enum,binary_extract,Enum/mode value
FFStabilizationUseTripodMode,Flexo,bool,behavior_toggle,binary_extract,Default stabilization to tripod
FFSwitchLibraryPanelFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFSyncMediaDisabled,Flexo,bool,behavior_toggle,binary_extract,Disable media sync [also accessed via integerForKey in decomp]
FFSyncMediaLogging,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFTestTimingSyncKey,Flexo,unknown,data_storage,binary_extract,
FFTheaterCreateArchives,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFTheaterDeprecationKnowledgeBaseURL,Flexo,string,path_url,binary_extract,URL/path/location
FFTheaterICloudEnabled,Flexo,bool,behavior_toggle,binary_extract,Enable toggle [also accessed via boolForKey in decomp]
FFTheaterICloudUnavailableLearnMoreURL,Flexo,string,path_url,binary_extract,URL/path/location
FFTheaterShareShouldAddToTheater,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFThrottleSegmentStoreWrites,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFTimecodeDisplayHUDBackgroundMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFTimecodeDisplayHUDFontSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFTimedMetadataRequestInternal,Flexo,unknown,data_storage,binary_extract,
FFTimelineDefaultsVersion,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFTimelineMediaChangedItemsKey,Flexo,unknown,data_storage,binary_extract,
FFTimelineRippleAfterRetimeKey,Flexo,bool,behavior_toggle,binary_extract,Ripple after retime
FFTimingMetadataPrimaryKey,Flexo,unknown,data_storage,binary_extract,
FFTrackerTransformScaleMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFTrackingTransformScale,Flexo,unknown,data_storage,binary_extract,
FFTranscodeResourceChoiceMode,Final Cut Pro;Flexo;Ozone,enum,mode_enum,binary_extract,Enum/mode value
FFTranscoderMediaNoDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFTrimDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFUIColorOSCsPreferenceKey,Flexo,unknown,data_storage,binary_extract,
FFURLDownloadTaskNameDefault,Flexo,unknown,data_storage,binary_extract,
FFURLInfoClipNameKey,Flexo,unknown,data_storage,binary_extract,
FFURLInfoCreationDateKey,Flexo,unknown,data_storage,binary_extract,
FFURLInfoRangeKey,Flexo,unknown,data_storage,binary_extract,
FFUseLUTSAndBalanceInBoard,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFUseOriginalOrOptimizedMediaPlayerQualityKey,Flexo,bool,behavior_toggle,binary_extract,Playback quality preference
FFUseRunGroupsForAudioAnalysis,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFVAMLSaveTranscription,CFPreferences,bool,debug_logging,curated_cfprefs,Persist transcription data to disk
FFVerticalIndexPath,Flexo,string,path_url,binary_extract,URL/path/location
FFVideoAngle,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFVideoEffectPresetKeyframeMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFViewEffectMatteMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value [also accessed via integerForKey in decomp]
FFViewportSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFXMLExportMetadataView,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFXMLImportDoNotDeleteiMovieXMLAfterImport,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFXMLManageFileTypeKey,Flexo,unknown,data_storage,binary_extract,
FFXMLReasonInvalidImportOptionKey,Flexo,unknown,data_storage,binary_extract,
FFXMLTranslationXMLDradAndDropMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
firstLineOnlyForLastCastMember,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FORCE_GL_FINISH,Ozone,bool,debug_logging,decompiled_source,Accessed via boolForKey; Force glFinish between draws (Ozone)
FrameDropLogLevel,CFPreferences,int,debug_logging,curated_cfprefs,"Frame drop reporting (0=off, higher=more)"
generatedByTrailer,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
GPU_LOGGING,CFPreferences,bool,debug_logging,curated_cfprefs,GPU/FxPlug pipeline logging
hasClip,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/removeObjectForKey
HDRCompatible,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
HELIUM_INERTIACAM_CL_DISABLE,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
HMDDisableIdle,ProCore,bool,behavior_toggle,decompiled_source,Accessed via boolForKey; Keep HMD awake
HMDLogFramerate,ProCore,bool,debug_logging,decompiled_source,Accessed via boolForKey; Log HMD framerate
HMDOutuputEnabled,Flexo,bool,behavior_toggle,binary_extract,HMD output toggle (sic: typo in FCP)
isConstantOffset,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
isVertical,Final Cut Pro,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
junkiness,Flexo,double,numeric_config,decompiled_source,Accessed via setDouble:forKey
kAnalyzeAndOptimizeCreateLightweightProxy,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
legacy,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
levelsOfUndo,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
lineSpacing,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
LK_DEBUG_COACH_TIP_UPDATES,LunaKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
LK_DEBUG_COACH_TIPS,LunaKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
LKCoachTipKey,LunaKit,string,state,binary_extract,Coach-tip state key
LKContainerShowHideMaximumDuration,LunaKit,float,numeric_config,binary_extract,Show/hide animation max [also accessed via doubleForKey in decomp]
LKContainerShowHideMinimumDuration,LunaKit,float,numeric_config,binary_extract,Show/hide animation min [also accessed via doubleForKey in decomp]
LKContainerShowHidePixelsPerSecond,LunaKit,double,numeric_config,decompiled_source,Accessed via doubleForKey
LKDragEventTrackerRunLoopMode,LunaKit,string,internal,binary_extract,Runloop mode for drag tracker
LKSegmentItemOptionsKey,LunaKit,dict,data_storage,binary_extract,Segment-item options storage
LogCategory,ProAppSupport,int,log_category,curated_proapp_log,Bitmask of ProAppSupport log subsystems
LogLevel,ProAppSupport,enum,log_level,curated_proapp_log,trace/debug/info/warning/error/failure
LogThread,ProAppSupport,bool,debug_logging,curated_proapp_log,Include thread info in log lines
LogUI,ProAppSupport,bool,debug_logging,curated_proapp_log,Toggle in-app SpliceKit log panel
lowercase,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
map,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
maskedEffectShapeOscMode,Flexo,int,mode_enum,decompiled_source,Accessed via integerForKey; Enum/mode value
metadataViews,Flexo,data,data_storage,decompiled_source,Accessed via dataForKey
monochrome,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
motion,Flexo,double,numeric_config,decompiled_source,Accessed via setDouble:forKey
newShotList,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
NSScrollWheelMultiplier,Ozone,float,numeric_config,decompiled_source,Accessed via floatForKey
NSShortTimeDateFormatString,Ozone,string,data_storage,decompiled_source,Accessed via stringForKey
observationOscShowConfidence,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
observationOscShowObjectType,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
OZMessageTracerLastLoggedWeekKey,Ozone,double,telemetry,decompiled_source,Accessed via doubleForKey/setDouble:forKey; MessageTracer telemetry
OZMessageTracerLaunchCountKey,Ozone,int,telemetry,decompiled_source,Accessed via integerForKey; MessageTracer telemetry
PEAppPlaybackandRenderPreferencesGPUInternal,Final Cut Pro,bool,behavior_toggle,binary_extract,Internal GPU playback/render preference
PEAuditionHUDDimensionsKey,Final Cut Pro,number,numeric_config,binary_extract,Size/dimensions
PECameraSupportURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PECaptionImportResultsAlertSuppressionKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEDisplayAreaDefaultMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
PEDisplayAreaMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
PEDisplayAreaPriorScopesMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
PEDisplayAreaScopesLayoutMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
PEDisplayAreaScopesWidthKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEFCPEcosystemURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PEFCPiPadPromoWindowAppLaunchCountKey,Final Cut Pro,int,data_storage,binary_extract,[decomp type: int via integerForKey]
PEFCPiPadPromoWindowDismissedDateKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEFCPiPadPromoWindowDisplayedAtSixMonthsDateKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEFCPiPadPromoWindowLearnMoreClickedDateKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEFeedbackURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PEImportCloseWindowAfterImport,Final Cut Pro,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
PEImportOptionsAnalyzeAudioSectionHiddenKey,Final Cut Pro,bool,ui_state,binary_extract,Section hidden state
PEImportOptionsAnalyzeVideoSectionHiddenKey,Final Cut Pro,bool,ui_state,binary_extract,Section hidden state
PEImportOptionsFilesSectionHiddenKey,Final Cut Pro,bool,ui_state,binary_extract,Section hidden state
PEImportOptionsHide,Final Cut Pro,bool,ui_state,binary_extract,UI show/hide state
PEImportOptionsShow,Final Cut Pro,bool,ui_state,binary_extract,UI show/hide state
PELogicEffectsURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PEManageSubscriptionURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PEMediaBrowserMode,Final Cut Pro;Flexo,enum,mode_enum,binary_extract,Enum/mode value [also accessed via integerForKey in decomp]
PERFORMANCE_MONITORING,Final Cut Pro;Ozone,bool,perf_monitor,decompiled_source,Accessed via boolForKey; Legacy perf-monitor toggle
PESavedHDRViewingMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
PEScopesMonochromeKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEScopesShowGuidesKey,Final Cut Pro,unknown,data_storage,binary_extract,
PEScopesTraceBrightnessKey,Final Cut Pro,unknown,data_storage,binary_extract,
PESelectionBasedOSCsDisabled,Final Cut Pro,bool,behavior_toggle,binary_extract,Disable selection-based OSCs
PEShowWorkInProgressTools,binary_scan,bool,behavior_toggle,binary_strings_scan,Show WIP developer tools in FCP UI
PESupportURL,Final Cut Pro,string,path_url,binary_extract,URL/path/location
PETestBundleDirectory,Final Cut Pro,string,data_storage,decompiled_source,Accessed via stringForKey
PEVoiceOverSavedWindowControllerOrigin,Final Cut Pro,string,data_storage,decompiled_source,Accessed via stringForKey
previewAnimatics,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
previewMode,Flexo,bool,mode_enum,decompiled_source,Accessed via boolForKey; Enum/mode value
ProExtensionDiscoveryMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
ProMSMediaServerResourceChoiceMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
rate,Flexo;MXFExportSDK,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
rbCost,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
RC_SnowLeoGammaCorrectionRatio,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
RoleEditorWindowFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
segCost,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
selectedMetadataView,Flexo,string,data_storage,decompiled_source,Accessed via removeObjectForKey/stringForKey
ShareAtQOSUtility,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
ShareDidShowAppStoreReviewPrompt,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
showClipTitlesOnly,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
ShowColorGranularityGainScale,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
ShowCommandIcons,LunaKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey; Show command icons in LK lists
showGuides,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
ShowHiddenMetadataMenuItems,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
skinColorBlue,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
skinColorGreen,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
skinColorRed,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
skinIndicator,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
skipFaceObservation,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
skipFcpTrackerResultSmoothing,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
strokeWidth,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
styleBreakOffset,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
suppressOlderVersionWarning,Ozone,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
tap2DetectConfidenceThreshold,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey/setDouble:forKey
TemplateBrowserSelectedCollection,Ozone,array,data_storage,decompiled_source,Accessed via arrayForKey
TemplateBrowserSelectedCollectionType,Ozone,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
TemplateBrowserSelectedDocument,Ozone,array,data_storage,decompiled_source,Accessed via arrayForKey
TemplateBrowserSelectedPresetTag,Ozone,string,data_storage,decompiled_source,Accessed via objectForKey/stringForKey
tilt,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
timelineIndexSearchesEffects,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
timescale,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
titleOnTop,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
TLKActionAutoscrollMediaLimitThreshold,TimelineKit,int,numeric_config,binary_extract,Autoscroll distance threshold
TLKAlternatingLaneColors,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
TLKColorizeLanes,TimelineKit,bool,debug_visual,decompiled_source,"Accessed via boolForKey; Color lane backgrounds (TLK variant, note spelling)"
TLKColorizeLanesInMonochrome,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
TLKColorizesLanes,TimelineKit (runtime),unknown,data_storage,runtime_tlk_curated,
TLKDebugColorChangedObjects,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,TLK debug overlay
TLKDebugErrorsAndWarnings,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,TLK debug overlay
TLKDebugLayoutConstraints,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,TLK debug overlay
TLKDebugLogLevel,TimelineKit,int,log_level,binary_extract,TLK subsystem log level
TLKDisableItemContents,TimelineKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
TLKEnableUpdateFilmstripsForItemComponentFragments,TimelineKit (runtime),unknown,data_storage,runtime_tlk_curated,
TLKForceLayoutOnDrag,TimelineKit (runtime),bool,perf_monitor,runtime_tlk_curated,Force-layout debug toggle
TLKItemLayerContentsOperations,TimelineKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
TLKLegacyLayout,TimelineKit (runtime),unknown,data_storage,runtime_tlk_curated,
TLKLoadDebugMicaAssets,TimelineKit (runtime),unknown,data_storage,runtime_tlk_curated,
TLKLogParts,TimelineKit,bool,debug_logging,decompiled_source,Accessed via boolForKey; TLK subsystem log
TLKLogRecyclingLayerChanges,TimelineKit (runtime),bool,debug_logging,runtime_tlk_curated,TLK subsystem log
TLKLogReloadRequests,TimelineKit (runtime),bool,debug_logging,runtime_tlk_curated,TLK subsystem log
TLKLogSegmentationStatistics,TimelineKit (runtime),bool,debug_logging,runtime_tlk_curated,TLK subsystem log
TLKLogVisibleLayerChanges,TimelineKit (runtime),bool,debug_logging,runtime_tlk_curated,TLK subsystem log
TLKLogVisibleRectChanges,TimelineKit (runtime),bool,debug_logging,runtime_tlk_curated,TLK subsystem log
TLKOptimizedReload,TimelineKit (runtime),bool,perf_monitor,runtime_tlk_curated,Optimized render path
TLKOptimizedZooming,TimelineKit (runtime),bool,perf_monitor,runtime_tlk_curated,Optimized render path
TLKPartPath,TimelineKit,string,path_url,binary_extract,TLK part path (internal)
TLKPerformanceMonitorEnabled,Flexo;TimelineKit,bool,perf_monitor,binary_extract,Enable timeline perf monitor [also accessed via boolForKey in decomp]
TLKPreCacheLayerCount,TimelineKit,int,numeric_config,binary_extract,Layers to pre-cache
TLKShowContainerBounds,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowContentLayers,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowHiddenGapItems,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowHiddenItemHeaders,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowInvalidLayoutRects,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowItemLaneIndex,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowMisalignedEdges,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowRenderBar,TimelineKit,bool,debug_visual,decompiled_source,Accessed via boolForKey; Visual overlay
TLKShowRulerBounds,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowUsedRegion,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKShowZeroHeightSpineItems,TimelineKit (runtime),bool,debug_visual,runtime_tlk_curated,Visual overlay
TLKTimelineRegularEditingMode,TimelineKit,bool,behavior_toggle,binary_extract,Editing mode toggle
TLKTimelineSimpleEditingMode,TimelineKit,bool,behavior_toggle,binary_extract,Editing mode toggle
TLKVerticalIndexTableKey,TimelineKit,dict,cache,binary_extract,Vertical index cache
TLKViewStateUsesLanePositions,TimelineKit (runtime),unknown,data_storage,runtime_tlk_curated,
traceBrightness,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey
TrackingOptionsDirection,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
transform2DOscMode,Flexo,int,mode_enum,decompiled_source,Accessed via integerForKey; Enum/mode value
transition,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
transitionAfterDuration,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/setFloat:forKey; Duration value
transitionBeforeDuration,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/setFloat:forKey; Duration value
uppercase,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/setObject:forKey
value,Flexo;MIO;Ozone,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
VAMLAutoCropFilterThresh,VAML,float,numeric_config,decompiled_source,Accessed via floatForKey
VideoDecoderLogLevelInNLE,CFPreferences,int,debug_logging,curated_cfprefs,"Video decoder verbosity (0=off, higher=more)"
volume,Flexo;MIO,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
WaveformsIgnoreVolume,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
whiteBalanceColorBlue,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
whiteBalanceColorGreen,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
whiteBalanceColorRed,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey
XMLExportLastLocation,Flexo,URL,path_url,decompiled_source,Accessed via URLForKey; URL/path/location
